ID,Country
1,Ethiopia
2,Guatemala
3,Brazil
4,Peru
5,United States (Hawaii)
6,United States
7,Indonesia
8,China
9,Costa Rica
10,Uganda
11,Honduras
12,Nicaragua
13,"Tanzania, United Republic Of"
14,Kenya
15,Thailand
16,Dominican Republic
17,Panama
18,Papua New Guinea
19,El Salvador
20,Japan
21,Ecuador
22,United States (Puerto Rico)
23,Burundi
24,Haiti
25,Vietnam
26,Philippines
27,Rwanda
28,Malawi
29,India
30,Laos
31,Zambia
32,Myanmar
33,Mauritius
34,Cote d Ivoire
